date,home_team,away_team,home_score,away_score,country,neutral,points
05-06-2019,Brazil,Bolivia,,,Brazil,False,
16-06-2019,Venezuela,Peru,,,Brazil,True,
16-06-2019,Argentina,Colombia,,,Brazil,True,
17-06-2019,Paraguay,Qatar,,,Brazil,True,
17-06-2019,Uruguay,Ecuador,,,Brazil,True,
18-06-2019,Japan,Chile,,,Brazil,True,
19-06-2019,Bolivia,Peru,,,Brazil,True,
19-06-2019,Brazil,Venezuela,,,Brazil,False,
20-06-2019,Colombia,Qatar,,,Brazil,True,
20-06-2019,Argentina,Paraguay,,,Brazil,True,
21-06-2019,Uruguay,Japan,,,Brazil,True,
22-06-2019,Ecuador,Chile,,,Brazil,True,
23-06-2019,Bolivia,Venezuela,,,Brazil,True,
23-06-2019,Peru,Brazil,,,Brazil,False,
24-06-2019,Colombia,Paraguay,,,Brazil,True,
24-06-2019,Qatar,Argentina,,,Brazil,True,
25-06-2019,Chile,Uruguay,,,Brazil,True,
25-06-2019,Ecuador,Japan,,,Brazil,True,
