Name,Full Name,Age,Height,Nationality,Overall,Potential,First Name,Last Name
Cristiano Ronaldo,Cristiano Ronaldo,33,188.0,Portugal,94,94,Cristiano,Ronaldo
L. Messi,Lionel Messi,31,170.0,Argentina,94,94,Lionel,Messi
Neymar Jr,Neymar Jr,26,175.0,Brazil,92,93,Neymar,Jr
De Gea,De Gea,27,193.0,Spain,91,93,De,Gea
K. De Bruyne,Kevin De Bruyne,27,180.0,Belgium,91,92,Kevin,De Bruyne
E. Hazard,Eden Hazard,27,173.0,Belgium,91,91,Eden,Hazard
L. Suárez,Luis Suárez,31,183.0,Uruguay,91,91,Luis,Suárez
L. Modrić,Luka Modrić,32,173.0,Croatia,91,91,Luka,Modrić
Sergio Ramos,Sergio Ramos,32,183.0,Spain,91,91,Sergio,Ramos
J. Oblak,Jan Oblak,25,188.0,Slovenia,90,93,Jan,Oblak
David Silva,David Silva,32,173.0,Spain,90,90,David,Silva
D. Godín,Diego Godín,32,188.0,Uruguay,90,90,Diego,Godín
R. Lewandowski,Robert Lewandowski,29,183.0,Poland,90,90,Robert,Lewandowski
T. Kroos,Toni Kroos,28,183.0,Germany,90,90,Toni,Kroos
P. Dybala,Paulo Dybala,24,178.0,Argentina,89,94,Paulo,Dybala
M. ter Stegen,Marc-André ter Stegen,26,188.0,Germany,89,92,Marc-André,ter Stegen
H. Kane,Harry Kane,24,188.0,England,89,91,Harry,Kane
A. Griezmann,Antoine Griezmann,27,175.0,France,89,90,Antoine,Griezmann
N. Kanté,N'Golo Kanté,27,168.0,France,89,90,N'Golo,Kanté
T. Courtois,Thibaut Courtois,26,198.0,Belgium,89,90,Thibaut,Courtois
E. Cavani,Edinson Cavani,31,185.0,Uruguay,89,89,Edinson,Cavani
G. Chiellini,Giorgio Chiellini,33,188.0,Italy,89,89,Giorgio,Chiellini
M. Neuer,Manuel Neuer,32,193.0,Germany,89,89,Manuel,Neuer
S. Agüero,Sergio Agüero,30,173.0,Argentina,89,89,Sergio,Agüero
Sergio Busquets,Sergio Busquets,29,188.0,Spain,89,89,Sergio,Busquets
K. Mbappé,Kylian Mbappé,19,178.0,France,88,95,Kylian,Mbappé
C. Eriksen,Christian Eriksen,26,180.0,Denmark,88,91,Christian,Eriksen
Isco,Isco,26,175.0,Spain,88,91,Isco,-
Casemiro,Casemiro,26,185.0,Brazil,88,90,Casemiro,-
Coutinho,Coutinho,26,173.0,Brazil,88,89,Coutinho,-
J. Rodríguez,James Rodríguez,26,180.0,Colombia,88,89,James,Rodríguez
M. Salah,Mohamed Salah,26,175.0,Egypt,88,89,Mohamed,Salah
