ID,Full Name
158023,Lionel Messi
20801,Cristiano Ronaldo
190871,Neymar Jr
193080,De Gea
192985,Kevin De Bruyne
183277,Eden Hazard
177003,Luka Modrić
176580,Luis Suárez
155862,Sergio Ramos
200389,Jan Oblak
188545,Robert Lewandowski
182521,Toni Kroos
182493,Diego Godín
168542,David Silva
215914,N'Golo Kanté
211110,Paulo Dybala
202126,Harry Kane
194765,Antoine Griezmann
192448,Marc-André ter Stegen
192119,Thibaut Courtois
189511,Sergio Busquets
179813,Edinson Cavani
167495,Manuel Neuer
153079,Sergio Agüero
138956,Giorgio Chiellini
231747,Kylian Mbappé
209331,Mohamed Salah
200145,Casemiro
198710,James Rodríguez
198219,Lorenzo Insigne
197781,Isco
190460,Christian Eriksen
189242,Coutinho
188567,Pierre-Emerick Aubameyang
178603,Mats Hummels
176676,Marcelo
173731,Gareth Bale
167948,Hugo Lloris
167664,Gonzalo Higuaín
164240,Thiago Silva
162835,Samir Handanovič
1179,Gianluigi Buffon
205600,Samuel Umtiti
201399,Mauro Icardi
201024,Kalidou Koulibaly
195864,Paul Pogba
193041,Keylor Navas
192505,Romelu Lukaku
192387,Ciro Immobile
189332,Jordi Alba
175943,Dries Mertens
172871,Jan Vertonghen
171877,Marek Hamšík
168651,Ivan Rakitić
152729,Piqué
222492,Leroy Sané
218667,Bernardo Silva
210257,Ederson
208722,Sadio Mané
203376,Virgil van Dijk
202652,Raheem Sterling
201942,Roberto Firmino
201535,Raphaël Varane
199556,Marco Verratti
191043,Alex Sandro
190483,Douglas Costa
189596,Thomas Müller
189509,Thiago
188350,Marco Reus
184432,Azpilicueta
184344,Leonardo Bonucci
184087,Toby Alderweireld
180206,Miralem Pjanić
177509,Medhi Benatia
176635,Mesut Özil
135507,Fernandinho
41,Iniesta
232363,Milan Škriniar
223848,Sergej Milinković-Savić
220834,Marco Asensio
216594,Nabil Fekir
212831,Alisson
212622,Joshua Kimmich
208421,Saúl
204485,Riyad Mahrez
197445,David Alaba
193747,Koke
193301,Alexandre Lacazette
192774,Kostas Manolas
192366,Nicolás Otamendi
189513,Parejo
187961,Paulinho
186153,Wojciech Szczęsny
184941,Alexis Sánchez
184267,Yacine Brahimi
183907,Jérôme Boateng
181872,Arturo Vidal
181458,Ivan Perišić
180930,Edin Džeko
179846,Sami Khedira
179844,Diego Costa
178518,Radja Nainggolan
171919,Naldo
170890,Blaise Matuidi
168609,Miranda
165153,Karim Benzema
164169,Filipe Luís
139720,Vincent Kompany
120533,Pepe
41236,Zlatan Ibrahimović
220793,Davinson Sánchez
216460,José María Giménez
212462,Alex Telles
212218,Aymeric Laporte
212198,Bruno Fernandes
212190,Niklas Süle
211300,Anthony Martial
211117,Dele Alli
209499,Fabinho
207865,Marquinhos
207566,William Carvalho
205498,Jorginho
204970,Florian Thauvin
204963,Carvajal
202556,Memphis Depay
200104,Heung Min Son
199482,Anthony Lopes
198176,Stefan de Vrij
198009,Mattia Perin
193082,Juan Cuadrado
192629,Iago Aspas
192563,Bernd Leno
191202,Nemanja Matić
190941,Lukáš Hrádecký
190584,Illarramendi
188377,Kyle Walker
186942,İlkay Gündoğan
185020,José Callejón
183898,Ángel Di María
181783,Mario Mandžukić
180403,Willian
178750,Sergio Asenjo
178562,Éver Banega
177413,Axel Witsel
177388,Dimitri Payet
176769,Jonas
172879,Sokratis
167628,Stéphane Ruffier
167397,Falcao
163587,Kasper Schmeichel
157481,Raúl Albiol
143076,Alejandro Gómez
137186,Andrea Barzagli
20775,Quaresma
9014,Arjen Robben
231443,Ousmane Dembélé
230666,Gabriel Jesus
230481,Ronaldo Cabrais
230375,Josué Chiamulera
230294,Louri Beretta
225850,Presnel Kimpembe
220971,Naby Keïta
219683,Corentin Tolisso
213565,Thomas Lemar
213345,Kingsley Coman
213331,Jonathan Tah
212523,Anderson Talisca
212188,Timo Werner
210008,Adrien Rabiot
209658,Leon Goretzka
208808,Quincy Promes
208670,Hakim Ziyech
208618,Lucas Vázquez
208418,Yannick Carrasco
208093,Gerard Moreno
207863,Felipe
207410,Mateo Kovačić
206585,Kepa
206545,Manu Trigueros
206113,Serge Gnabry
204935,Jordan Pickford
204639,Stefan Savić
203574,John Stones
202651,Suso
202166,Julian Draxler
201995,Felipe Anderson
200949,Lucas Moura
200888,Danilo Pereira
200724,Nacho Fernández
200316,Timo Horn
199914,Allan
199845,Francesco Acerbi
199564,Sergi Roberto
198329,Rodrigo
197965,Pizzi
195365,Kevin Kampl
194404,Neto
193698,Oliver Baumann
193474,Idrissa Gueye
192883,Henrikh Mkhitaryan
192638,Marcos Alonso
192593,Danijel Subašić
190547,Kamil Glik
189712,Kevin Strootman
189068,Bas Dost
188152,Oscar
186627,Mario Balotelli
185221,Luiz Gustavo
184942,Giuliano
179944,David Luiz
179783,Ralf Fährmann
178088,Juan Mata
178086,Adán
178005,Rui Patrício
177683,Yann Sommer
177610,Javi Martínez
177457,Lars Bender
176266,Lucas Leiva
163705,Steve Mandanda
162895,Cesc Fàbregas
162240,Moussa Dembélé
156616,Franck Ribéry
104389,Rune Almenning Jarstein
53302,Daniele De Rossi
24630,Pepe Reina
236583,Jiří Pavlenka
235243,Matthijs de Ligt
231866,Rodri
230658,Arthur
230621,Gianluigi Donnarumma
230258,Rosberto Dourado
230225,Juiano Mestres
230168,Raphaelito Anjos
227055,Gelson Martins
224411,Gonçalo Guedes
223959,Lucas Torreira
222737,Malcom
221087,Pau López
220814,Lucas Hernández
220440,Clément Lenglet
216354,Andrej Kramarić
216267,Andrew Robertson
216194,Dani García
212404,Federico Bernardeschi
212194,Julian Brandt
211320,Daniele Rugani
210617,Samu Castillejo
210514,João Cancelo
210413,Alessio Romagnoli
209989,Thomas Partey
209297,Fred
208830,Jamie Vardy
208596,Andrea Belotti
208448,Emil Forsberg
207494,Jesse Lingard
207471,Franco Vázquez
205678,Edin Višća
205452,Antonio Rüdiger
203551,Alessandro Florenzi
203263,Harry Maguire
202371,Thomas Meunier
201956,Salif Sané
201455,Geoffrey Kondogbia
201400,Rafinha
201305,Gabriel Paulista
201153,Morata
199987,Jasper Cillessen
199451,Wissam Ben Yedder
198951,Cédric Bakambu
198950,Pablo Sarabia
198717,Wilfried Zaha
198706,Luis Alberto
198164,Jonathan Viera
198141,Bartra
197655,Sebastián Coates
195093,Willian José
193525,Mário Fernandes
193469,Víctor Ruiz
193283,Thomas Delaney
192984,Koen Casteels
192318,Mario Götze
192227,Shkodran Mustafi
191180,Javier Pastore
189505,Pedro
189125,Giacomo Bonaventura
189117,Roman Bürki
188803,Taison
187936,Steven Nzonzi
187754,Marlos
186561,Aaron Ramsey
186345,Kieran Trippier
185103,Aleksandar Kolarov
184484,Gylfi Sigurðsson
184431,Sebastian Giovinco
