Full Name, Age, Height, Nationality, Overall 
K. BOUDIAF,28,190,QATAR,74
H. KHALID,28,174,QATAR,74
R. TABATA,38,170,QATAR,74
A. LECOMTE,28,195,QATAR,73
EMERSON SHEIK,40,171,QATAR,72
LUIZ JÚNIOR,29,177,QATAR,72
MOAYED HASSAN,26,170,QATAR,69
M. MUSA,32,181,QATAR,69
A. HASSAN AFIF,30,172,QATAR,69
A. HASSAN,25,181,QATAR,69
B. KHOUKHI,28,184,QATAR,69
PEDRO MIGUEL,28,180,QATAR,69
A. AFIF,22,177,QATAR,69
A. ALI,22,180,QATAR,69
S. AL SHEEB,28,185,QATAR,68
KHALID MUFTAH,26,173,QATAR,68
M. NAJI HUSSEIN,27,174,QATAR,68
SALEM AL HAJRI,22,183,QATAR,68
H. ISMAEIL,32,178,QATAR,67
MUNEER A.MAZEED,26,178,QATAR,67
BASSAM HISHAM,21,175,QATAR,67
A. MOUSTAFA,21,168,QATAR,67
A. ASSADALLA,25,175,QATAR,66
HASSAN PALANG,20,170,QATAR,66
HAZEM SHEHATA,20,178,QATAR,65
A. AL HAMAWENDE,19,183,QATAR,65
S. SORIA,35,186,QATAR,64
O. BARRY,32,189,QATAR,64
MUSA HAROON,33,180,QATAR,64
A. B. F. MOUSA,21,180,QATAR,64
SULTAN AL-BRAKE,22,180,QATAR,64
ADEL BADR,21,170,QATAR,64
T. AL MUHAZA,22,177,QATAR,64
FUHAID SATTAM,36,176,QATAR,64
A. MADIBO,22,168,QATAR,63
A. AL HARAZI,24,178,QATAR,63
HUSAM HASSUNIN,22,181,QATAR,63
ALI ALRAYAMI,23,170,QATAR,63
QASEM BURHAN,33,192,QATAR,62
M. KASOLA,32,181,QATAR,62
A. AL AAELDIN,25,177,QATAR,62
I. MOHAMMAD,28,171,QATAR,62
AL-ABDULRAHMAN,23,164,QATAR,62
SALMIN ATIQ,21,170,QATAR,62
M. ADI MONKEZ,21,170,QATAR,62
HATIM KAMAL,21,170,QATAR,62
A. KHALID SHAMS,23,170,QATAR,62
J. AL SHAMMERI,22,170,QATAR,62
ABDULAZIZ HATEM,28,178,QATAR,61
DANIEL GOUMA,28,171,QATAR,61
A. AL DIRI,24,173,QATAR,61
A. EL SAYED,28,178,QATAR,61
YOUSUF MUFTAH,30,165,QATAR,61
Y. A. ESSA,26,180,QATAR,61
A. ABDULSALAM,21,175,QATAR,61
SALEH HALABI,18,170,QATAR,61
SAEED ALHAJ,26,178,QATAR,61
KHALED ALYAZIDI,23,170,QATAR,61
MESHAAL BARSHAM,20,170,QATAR,61
M. ABDULWAHHAB,19,170,QATAR,61
ADNAN AL SAYED,23,170,QATAR,61
AHMED AL-JALHAM,23,170,QATAR,61
SAUOUD EBRAHIM,30,168,QATAR,61
ALI SANAD,33,173,QATAR,60
A. YASSER,24,181,QATAR,60
DAME TRAORÉ,32,188,QATAR,60
YOUNES YAGHOOB,32,182,QATAR,60
I. MAJID,28,185,QATAR,60
