Name,SPI
Brazil,2.39
France,2.22
Belgium,2.17
Spain,2.10
Portugal,1.88
Germany,1.86
England,1.66
Denmark,1.60
Colombia,1.60
Argentina,1.59
Italy,1.59
Netherlands,1.58
Switzerland,1.56
Uruguay,1.55
Chile,1.51
Croatia,1.48
Sweden,1.47
Poland,1.35
Japan,1.30
Iran,1.27
Peru,1.25
Wales,1.24
Russia,1.17
Mexico,1.17
Morocco,1.14
Turkey,1.09
South Korea,1.08
Australia,1.07
Slovakia,1.05
Serbia,1.05
Ukraine,1.04
United States,1.03
Ecuador,1.02
Republic of Ireland,1.01
Senegal,0.98
Austria,0.97
Kosovo,0.95
Iceland,0.94
Romania,0.93
Bosnia-Herzegovina,0.90
Paraguay,0.90
Northern Ireland,0.86
Egypt,0.78
Nigeria,0.74
Venezuela,0.73
Costa Rica,0.67
Czech Republic,0.63
Qatar,0.62
Hungary,0.61
Tunisia,0.60
Ivory Coast,0.60
Greece,0.58
Ghana,0.54
Congo DR,0.53
Saudi Arabia,0.53
Finland,0.52
Bulgaria,0.50
Scotland,0.49
Uzbekistan,0.49
Montenegro,0.48
Norway,0.47
Cameroon,0.45
Slovenia,0.43
South Africa,0.43
Algeria,0.41
Iraq,0.35
Burkina Faso,0.34
Albania,0.34
United Arab Emirates,0.32
Uganda,0.29
Syria,0.24
China,0.24
Georgia,0.23
Belarus,0.20
Jordan,0.19
FYR Macedonia,0.19
Mali,0.18
Bolivia,0.17
Israel,0.16
Zambia,0.16
Panama,0.14
Guinea,0.13
Zimbabwe,0.10
Honduras,0.08
Jamaica,0.06
Cape Verde Islands,-0.00
Libya,-0.05
Canada,-0.05
Mauritania,-0.14
Congo,-0.15
Namibia,-0.17
Oman,-0.17
Kenya,-0.18
Gabon,-0.21
Equatorial Guinea,-0.24
Bahrain,-0.26
Armenia,-0.27
Burundi,-0.27
Luxembourg,-0.27
Haiti,-0.28
Benin,-0.29
Madagascar,-0.32
Cyprus,-0.32
Estonia,-0.33
New Zealand,-0.33
Trinidad and Tobago,-0.35
El Salvador,-0.37
Thailand,-0.37
Angola,-0.37
Kazakhstan,-0.41
Rwanda,-0.41
Togo,-0.42
Azerbaijan,-0.43
Kuwait,-0.48
Vietnam,-0.48
Liberia,-0.49
Lebanon,-0.50
Gambia,-0.50
Botswana,-0.53
Malawi,-0.54
Kyrgyzstan,-0.54
Comoros,-0.56
Mozambique,-0.56
Sierra Leone,-0.59
Latvia,-0.62
Curacao,-0.63
Sudan,-0.64
Nicaragua,-0.64
Guinea-Bissau,-0.67
Palestine,-0.68
Swaziland,-0.69
Tanzania,-0.69
Niger,-0.70
Faroe Islands,-0.74
Moldova,-0.76
North Korea,-0.81
Guatemala,-0.82
Lesotho,-0.84
Central African Republic,-0.86
Turkmenistan,-0.89
Lithuania,-0.90
Ethiopia,-0.90
Malta,-0.98
Hong Kong,-1.01
Chad,-1.07
India,-1.11
Montserrat,-1.12
Indonesia,-1.12
Philippines,-1.25
Singapore,-1.34
Andorra,-1.37
Tajikistan,-1.53
St. Kitts and Nevis,-1.57
Mauritius,-1.59
Tahiti,-1.63
Suriname,-1.65
Belize,-1.71
Yemen,-1.74
Guam,-1.77
Sao Tome and Principe,-1.78
Papua New Guinea,-1.78
Cuba,-1.80
Myanmar,-1.84
New Caledonia,-1.85
Liechtenstein,-1.89
Barbados,-1.91
Solomon Islands,-1.92
Antigua and Barbuda,-1.95
Guyana,-1.96
Seychelles,-1.99
Fiji,-2.03
Afghanistan,-2.04
Malaysia,-2.05
Chinese Taipei,-2.07
South Sudan,-2.13
Bermuda,-2.14
Dominican Republic,-2.25
St. Lucia,-2.33
Gibraltar,-2.38
Vanuatu,-2.44
Puerto Rico,-2.45
Cambodia,-2.52
Grenada,-2.63
Nepal,-2.68
Pakistan,-2.69
Maldives,-2.78
St. Vincent / Grenadines,-2.84
Dominica,-2.88
Cayman Islands,-2.95
Aruba,-2.98
Macau,-3.23
San Marino,-3.28
Brunei Darussalum,-3.39
Bangladesh,-3.43
Laos,-3.57
Somalia,-3.65
Timor-Leste,-3.65
Mongolia,-3.74
Djibouti,-4.04
Sri Lanka,-4.08
US Virgin Islands,-4.52
British Virgin Islands,-4.90
Bhutan,-5.05
Turks and Caicos Islands,-5.54
Anguilla,-5.55
American Samoa,-5.94
Bahamas,-5.99
Samoa,-6.21
Cook Islands,-6.22
Tonga,-6.55
