,group,team,player,position,First Name,Last Name
0,A,Brazil,Alisson,GK,Alisson,#
1,A,Brazil,Thiago Silva,DF,Thiago,Silva
2,A,Brazil,Miranda,DF,Miranda,#
3,A,Brazil,Marquinhos,DF,Marquinhos,#
4,A,Brazil,Casemiro,MF,Casemiro,#
5,A,Brazil,Filipe Luís,DF,Filipe,Luís
6,A,Brazil,David Neres,FW,David,Neres
7,A,Brazil,Arthur,MF,Arthur,#
8,A,Brazil,Gabriel Jesus,FW,Gabriel,Jesus
9,A,Brazil,Willian,MF,Willian,#
10,A,Brazil,Philippe Coutinho,MF,Philippe,Coutinho
11,A,Brazil,Alex Sandro,DF,Alex,Sandro
12,A,Brazil,Dani Alves,DF,Dani,Alves
13,A,Brazil,Éder Militão,DF,Éder,Militão
14,A,Brazil,Allan,MF,Allan,#
15,A,Brazil,Cássio,GK,Cássio,#
16,A,Brazil,Fernandinho,MF,Fernandinho,#
17,A,Brazil,Lucas Paquetá,MF,Lucas,Paquetá
18,A,Brazil,Everton,FW,Everton,#
19,A,Brazil,Roberto Firmino,FW,Roberto,Firmino
20,A,Brazil,Richarlison,FW,Richarlison,#
21,A,Brazil,Fagner,DF,Fagner,#
22,A,Brazil,Ederson,GK,Ederson,#
23,A,Bolivia,Carlos Lampe,GK,Carlos,Lampe
24,A,Bolivia,Saúl Torres,DF,Saúl,Torres
25,A,Bolivia,Alejandro Chumacero,MF,Alejandro,Chumacero
26,A,Bolivia,Luis Haquin,DF,Luis,Haquin
27,A,Bolivia,Mario Cuéllar,DF,Mario,Cuéllar
28,A,Bolivia,Erwin Saavedra,MF,Erwin,Saavedra
29,A,Bolivia,Leonel Justiniano,MF,Leonel,Justiniano
30,A,Bolivia,Diego Bejarano,DF,Diego,Bejarano
31,A,Bolivia,Marcelo Martins,FW,Marcelo,Martins
32,A,Bolivia,Samuel Galindo,MF,Samuel,Galindo
33,A,Bolivia,Leonardo Vaca,FW,Leonardo,Vaca
34,A,Bolivia,Rubén Cordano,GK,Rubén,Cordano
